ticker,description,pre-market close,pre-market close - currency,pre-market change %,gap %,premarket volume,price,price - currency,price change % 1 day,gap % 1 day,volume 1 day,volume change % 1 day,post-market close,post-market close - currency,post-market change %,post-market volume,float,score
GNLN,"Greenlane Holdings, Inc.",0.00725,USD,18.852459016393443,14.754098360655732,124647609.0,0.00685,USD,12.295081967213113,16.39344262295082,196007322,48.39178798724772,,,,,1000000.0,1252.3778293441624
NIVF,NewGenIvf Group Limited,5.2501,USD,205.2383720930233,43.60465116279071,33270920.0,5.4848,USD,218.88372093023256,205.8139534883721,66819320,36.34411629973566,,,,,1000000.0,350.1511604650163
REVB,"Revelation Biosciences, Inc.",1.04,USD,26.366950182260037,17.569866342648854,28035015.0,0.9948,USD,20.874848116646422,25.15188335358446,35076490,5754.004085529083,,,,,1000000.0,287.3781965369596
TRAW,"Traws Pharma, Inc.",2.5299,USD,78.16197183098593,1.4084507042253531,27828303.0,2.1,USD,47.88732394366198,78.16901408450704,50761520,36752.07341154606,,,,,1000000.0,278.8465102815901
KPRX,"Kiora Pharmaceuticals, Inc.",3.93,USD,37.89473684210527,8.07017543859649,11590904.0,3.57,USD,25.263157894736832,38.59649122807018,21293536,777888.1622214103,,,,,1000000.0,119.13721017533861
SOAR,"Volato Group, Inc.",3.26,USD,22.097378277153556,-8.239700374531827,12147691.0,3.12,USD,16.85393258426967,20.5992509363296,19551044,10637.43512573936,,,,,1000000.0,118.18112985008727
RENB,Renovaro Inc.,0.3701,USD,27.664711969644703,7.450845119006557,9870704.0,0.3488,USD,20.31735081062436,27.63021731631597,55090218,3836.382058343111,,,,,1000000.0,101.68747804750264
REKR,"Rekor Systems, Inc.",1.35,USD,22.727272727272727,1.8181818181818197,9798140.0,1.365,USD,24.09090909090908,22.27272727272726,17850538,610.4802024787649,,,,,1000000.0,98.70877272717274
RSLS,"ReShape Lifesciences, Inc.",5.73,USD,32.94663573085849,-2.088167053364266,9851536.0,6.0599,USD,40.60092807424595,32.714617169373554,15860738,22619.86534880389,,,,,1000000.0,97.68019317855429
EYEN,"Eyenovia, Inc.",1.85,USD,10.778443113772465,4.790419161676651,7629263.0,1.855,USD,11.07784431137725,11.377245508982046,10702894,2999.916006302424,,,,,1000000.0,78.20889766457067
AREB,"American Rebel Holdings, Inc.",1.72,USD,17.006802721088434,0.680272108843538,6428867.0,1.845,USD,25.51020408163265,17.34693877551021,10037736,1188.372510916414,,,,,1000000.0,64.56087884343742
BMGL,Basel Medical Group Ltd,4.3788,USD,11.704081632653065,14.79591836734694,5414157.0,4.6128,USD,17.673469387755105,11.73469387755102,13758175,-79.584747047134,,,,,1000000.0,60.06003734683878
MCTR,CTRL Group Limited,7.23,USD,47.554031714932975,8.165472764750303,2500004.0,8.6456,USD,76.44441723300477,45.30908794057022,7233598,11394.490791501805,,,,,1000000.0,28.266329105800125
ALZN,"Alzamend Neuro, Inc.",3.73,USD,6.571428571428571,37.14285714285714,877020.0,3.87,USD,10.571428571428577,7.142857142857142,1521916,38.25256194683433,,,,,1000000.0,23.62744285704286
EHVVF,Ehave Inc.,0.01,USD,25.0,25.0,340000.0,0.01,USD,25.0,-20.0,1802000,-11.323174374464225,,,,,1000000.0,13.4000999999
BON,Bon Natural Life Limited,1.73,USD,8.124999999999993,0.0,1221413.0,1.766,USD,10.374999999999996,6.874999999999992,1726398,316.7758258153138,,,,,1000000.0,12.2142299999
SHOT,"Safety Shot, Inc.",0.2782,USD,6.835637480798764,3.379416282642079,924818.0,0.3197,USD,22.77265745007679,5.990783410138249,22488302,1366.649753376843,,,,,1000000.0,10.600046512956833
ELRA,"Elray Resources, Inc.",0.0004,USD,17.64705882352941,17.64705882352941,270000.0,0.00034,USD,13.333333333333352,0.0,425000,-78.75106244687765,,,,,1000000.0,9.758923529311764
UNCY,"Unicycive Therapeutics, Inc.",0.69,USD,4.16666666666666,4.151570048309174,258929.0,0.76001,USD,14.735809178743958,2.6570048309178835,2654333,-8.206467346835735,,,,,1000000.0,4.25001801922367
NINE,"Nine Energy Service, Inc.",0.445,USD,-0.6474659522214811,0.0446528242911314,159742.0,0.4945,USD,10.404108059834778,0.4688546550569303,491413,-14.256525683975433,,,,,1000000.0,1.6153811296164529
PLRZ,Polyrizon Ltd.,0.79,USD,2.7308192457737346,0.5591677503250937,109132.0,0.882,USD,14.694408322496749,0.1300390117035111,481765,-78.99567806205575,,,,,1000000.0,1.3150871000300377
CATX,"Perspective Therapeutics, Inc.",2.5867,USD,8.230125523012546,2.510460251046027,14785.0,2.66,USD,11.297071129707112,2.0920502092050137,293753,-79.16887681149143,,,,,1000000.0,1.1521341003184111
KIDZ,"Classover Holdings, Inc.",3.8147,USD,2.545698924731183,-5.10752688172044,197422.0,4.5,USD,20.967741935483865,2.150537634408592,1491500,-89.54790172462775,,,,,1000000.0,-0.06869075278817581
SPWR,"Complete Solaria, Inc.",1.52,USD,0.0,-0.532894736842105,2420.0,1.77,USD,16.447368421052634,0.0,334373,-60.81045920161271,,,,,1000000.0,-0.1888578948368419
LVWR,"LiveWire Group, Inc.",3.9,USD,3.448275862068962,-3.183023872679048,44871.0,4.205,USD,11.53846153846154,2.6525198938992065,1123198,-56.61442001426102,,,,,1000000.0,-0.8243995491716192
ZEO,Zeo Energy Corporation,2.59,USD,6.584362139917682,-3.29218106995885,9227.0,2.954,USD,21.56378600823045,4.938271604938257,148624,-77.10094909404658,,,,,1000000.0,-1.22450242808354
TXTM,"ProText Mobility, Inc.",,,,,,0.00305,USD,408.33333333333337,250.00000000000009,60954548,1088.5916970536043,,,,,1000000.0,
HQGE,HQ GLOBAL EDUCATION INC,,,,,,0.0003,USD,200.0,200.0,3751000,275.4754754754755,,,,,1000000.0,
PRDL,"Profitable Developments, Inc.",,,,,,0.0002,USD,100.0,0.0,3332829,966.50528,,,,,1000000.0,
HMLA,"Himalaya Technologies, Inc.",,,,,,0.0005,USD,25.0,25.0,2680000,-53.96546310400576,,,,,1000000.0,
ECGI,ECGI Holdings Inc.,,,,,,0.0009,USD,20.0,46.66666666666667,10847458,83.47151609540657,,,,,1000000.0,
NTRR,Neutra Corp.,,,,,,0.0002,USD,19900.000000000004,19900.000000000004,1113689,714.0049409425799,,,,,1000000.0,
CBDD,CBD of Denver Inc.,,,,,,0.0002,USD,33.33333333333336,33.33333333333336,17038947,-5.06492116474934,,,,,1000000.0,
AWON,"A1 Group, Inc.",,,,,,0.0025,USD,13.636363636363631,0.0,1275432,2429.6152320507736,,,,,1000000.0,
FMNJ,"Franklin Mining, Inc.",,,,,,0.0016,USD,45.45454545454545,-18.181818181818187,596181,19959.92597577389,,,,,1000000.0,
SGDH,"SGD Holdings, Ltd.",,,,,,0.0059,USD,68.57142857142856,42.85714285714285,730000,-49.54416958688425,,,,,1000000.0,
CBGL,"Cannabis Global, Inc.",,,,,,0.0001,USD,100.0,100.0,425420,-75.6486100497709,,,,,1000000.0,
HLXW,HELIX WIND CORP,,,,,,0.0001,USD,9900.000000000002,9900.000000000002,233100,163.88778825580474,,,,,1000000.0,
HPNN,"Hop-on, Inc.",,,,,,0.00045,USD,12.499999999999991,25.0,630931,45.3758064516129,,,,,1000000.0,
RSHN,"RushNet, Inc.",,,,,,0.0001,USD,9900.000000000002,9900.000000000002,3001000,14905.000000000002,,,,,1000000.0,
GTLL,"Global Technologies, Ltd.",,,,,,0.0003,USD,49.99999999999998,49.99999999999998,2333333,-71.29643013240508,,,,,1000000.0,
CRSM,"CarSmartt, Inc.",,,,,,0.0013,USD,18.18181818181817,9.090909090909074,420000,-51.26338081285719,,,,,1000000.0,
ERBB,"American Green, Inc.",,,,,,0.0004,USD,33.33333333333336,0.0,224023,-88.50839391027925,,,,,1000000.0,
INND,"Innerscope Hearing Technologies, Inc.",,,,,,0.0046,USD,14.999999999999996,14.999999999999996,50530,-90.1839465857501,,,,,1000000.0,
PSWW,"Principal Solar, Inc.",,,,,,0.0003,USD,15.384615384615383,-23.076923076923062,8169633,-84.46418542920823,,,,,1000000.0,
FCGD,First Colombia Gold Corp.,,,,,,0.0001,USD,100.0,100.0,250000,-95.069033530572,,,,,1000000.0,
GMPR,Gourmet Provisions International Corporation,,,,,,0.0001,USD,9900.000000000002,9900.000000000002,60001,-98.91105263157894,,,,,1000000.0,
PTAM,"Potash America, Inc.",,,,,,0.0023,USD,27.77777777777778,11.111111111111116,50000,0.0,,,,,1000000.0,
DRNK,"NoHo, Inc.",,,,,,0.0006,USD,19.999999999999982,19.999999999999982,2295600,-96.0419644187843,,,,,1000000.0,
KGKG,KONA GOLD BEVERAGE INC.,,,,,,0.00015,USD,49.99999999999998,100.0,772499,-95.31123885059712,,,,,1000000.0,
RMRK,Rimrock Gold Corp.,,,,,,0.0003,USD,19.999999999999982,19.999999999999982,79877,-92.73845454545454,,,,,1000000.0,
VPER,"Viper Networks, Inc.",,,,,,0.0005,USD,11.111111111111116,11.111111111111116,200000,594.7821857847565,,,,,1000000.0,
CBDL,CBD Life Sciences Inc.,,,,,,0.0003,USD,49.99999999999998,49.99999999999998,1068200,-96.22568562618338,,,,,1000000.0,
JTBK,Jetblack Corp.,,,,,,0.0008,USD,14.285714285714294,14.285714285714294,616000,-93.82079565080312,,,,,1000000.0,
GSAC,GelStat Corp.,,,,,,0.0005,USD,25.0,25.0,75000,-98.84615384615384,,,,,1000000.0,
PUGE,PUGET TECHNOLOGIES INC,,,,,,0.0001,USD,9900.000000000002,9900.000000000002,50000,-89.58333333333334,,,,,1000000.0,
VIZC,"VizConnect, Inc.",,,,,,0.0005,USD,25.0,25.0,50000,-92.7536231884058,,,,,1000000.0,
CBIH,"CANNABIS BIOSCIENCE INTERNATIONAL HOLDINGS, INC.",,,,,,0.0007,USD,16.66666666666668,16.66666666666668,10082,-98.4429656238562,,,,,1000000.0,
TNGL,"Tonogold Resources, Inc.",,,,,,0.02095,USD,11.733333333333338,11.733333333333338,10000,-96.7226116852003,,,,,1000000.0,
PHIL,PHI Group Inc. (WY),,,,,,0.0002,USD,100.0,100.0,1000000,-97.74001273774022,,,,,1000000.0,
AGOAF,ABENGOA SA,,,,,,0.0001,USD,900.0,900.0,18655,62.21739130434783,,,,,1000000.0,
WRMA,"Wiremedia, Inc.",,,,,,0.0027,USD,22.727272727272727,22.727272727272727,5000,-99.42000338718022,,,,,1000000.0,
WTER,Alkaline Water Company Inc. (The),,,,,,0.025,USD,13.63636363636365,13.63636363636365,6131,-99.6181439841951,,,,,1000000.0,
ELEK,Elektros Inc.,,,,,,0.022,USD,46.66666666666666,21.066666666666663,3432,-99.3234345553041,,,,,1000000.0,
NAFS,"North America Frac Sand, Inc.",,,,,,0.0002,USD,100.0,100.0,10000,-96.66666666666669,,,,,1000000.0,
DNAG,DNAPRINT GENOMICS,,,,,,6e-06,USD,500.0000000000001,500.0000000000001,3665,-79.29378531073446,,,,,1000000.0,
VMSI,"Vita Mobile Systems, Inc.",,,,,,0.0007,USD,16.66666666666668,16.66666666666668,10000,-99.82547993019196,,,,,1000000.0,
EWRC,"eWorld Companies, Inc.",,,,,,0.0001,USD,9900.000000000002,9900.000000000002,200000,-86.66666666666667,,,,,1000000.0,
AFFU,Affluence Corp.,,,,,,0.00015,USD,49.99999999999998,100.0,218469,-97.09390506083446,,,,,1000000.0,
DKTS,TOP SHELF BRANDS HLDGS CORP,,,,,,2e-05,USD,1900.0000000000005,1900.0000000000005,1000,-99.94949494949496,,,,,1000000.0,
FDFT,"Foodfest International 2000, Inc.",,,,,,2e-06,USD,100.0,100.0,10000,-83.33333333333334,,,,,1000000.0,
HFBG,HALL OF FAME BEVERAGES INC,,,,,,3.4e-05,USD,3300.000000000001,3300.000000000001,600,300.0,,,,,1000000.0,
EXMT,Anything Technologies Media Inc.,,,,,,0.00035,USD,16.66666666666668,16.66666666666668,300,-29.411764705882355,,,,,1000000.0,
MODC,MODERN TECHNOLOGY CORP,,,,,,3.7e-05,USD,3600.0,3600.0,550,-99.9725,,,,,1000000.0,
VNUE,"VNUE, Inc.",,,,,,0.0004,USD,33.33333333333336,33.33333333333336,750,-99.94549798851244,,,,,1000000.0,
BNYN,BANYAN CORP(OREGON),,,,,,0.000193,USD,19200.0,19200.0,104,-99.93066666666668,,,,,1000000.0,
